year,name,code,gini
2001,Poland,POL,0.3840865161446483
2001,Russian Federation,RUS,0.6045600896656238
2001,Slovenia,SVN,0.31788921949000004
2001,Thailand,THA,0.67474400406
2001,USA,USA,0.5521584873517384
2001,Yemen,YEM,0.5902649477508891
2002,Brazil,BRA,0.653196461486777
2002,Cote d'Ivoire,CIV,0.6347970917229981
2002,China,CHN,0.4395800415118432
2002,Czech Republic,CZE,0.2990730294935443
2002,Germany,DEU,0.4001175668993613
2002,France,FRA,0.4733569373412319
2002,India,IND,0.4938780565466749
2002,Jordan,JOR,0.5266386657933331
2002,Korea, Republic of,0.2851391214899501
2002,Malaysia,MYS,0.5459482393690119
2002,Poland,POL,0.3947523357233991
2002,Russian Federation,RUS,0.5917241053035811
2002,Slovenia,SVN,0.33272178327
2002,Thailand,THA,0.6493963640015551
2002,Turkey,TUR,0.6209785768110732
2002,USA,USA,0.5527585878700296
2002,Yemen,YEM,0.5902649477508891
2003,Brazil,BRA,0.653351469958829
2003,China,CHN,0.4461097745024208
2003,Czech Republic,CZE,0.31257807671283033
2003,Germany,DEU,0.3946252933467208
2003,France,FRA,0.4773285517717079
2003,India,IND,0.503844731413969
2003,Korea, Republic of,0.2917081890069001
2003,Poland,POL,0.4000013033018521
2003,Russian Federation,RUS,0.5965154228854691
2003,Slovenia,SVN,0.34119963349000004
2003,Thailand,THA,0.6647261682755841
2003,Turkey,TUR,0.613694675117251
2003,USA,USA,0.5565642607964718
2003,Yemen,YEM,0.5902649477508891
2004,Brazil,BRA,0.6479128540149262
2004,China,CHN,0.4492462349851435
2004,Czech Republic,CZE,0.3275157664420606
2004,Germany,DEU,0.4046753157408192
2004,Egypt,EGY,0.5465334040416789
2004,France,FRA,0.47680516412477597
2004,India,IND,0.5139540651170819
2004,Korea, Republic of,0.2942468576082802
2004,Malaysia,MYS,0.5481383765584591
2004,Poland,POL,0.408649778547914
2004,Palestine,PSE,0.5781049054105432
2004,Russian Federation,RUS,0.5896301412772379
2004,Slovenia,SVN,0.34065753971
2004,Syrian Arab Republic,SYR,0.5816754074120001
2004,Thailand,THA,0.6449526310788278
2004,Turkey,TUR,0.602465614244866
2004,USA,USA,0.5649554148867941
2004,Yemen,YEM,0.5902649477508891
2005,Bahrain,BHR,0.5906703335748191
2005,Brazil,BRA,0.6473948188878071
2005,China,CHN,0.4675012152674134
2005,Czech Republic,CZE,0.3238191811357409
2005,Germany,DEU,0.4301586054837351
2005,France,FRA,0.4741163905253474
2005,India,IND,0.5241982416886082
2005,Korea, Republic of,0.28015528899172004
2005,Lebanon,LBN,0.6147981652519999
2005,Poland,POL,0.4290131675100432
2005,Palestine,PSE,0.593360603211474
2005,Russian Federation,RUS,0.5833536810551535
2005,Slovenia,SVN,0.3332908749100001
2005,Thailand,THA,0.644568907068666
2005,Turkey,TUR,0.5824411458136982
2005,USA,USA,0.5745751011659697
2005,Yemen,YEM,0.5902649477508891
2006,Brazil,BRA,0.6494971342368199
2006,China,CHN,0.4660984162446018
2006,Czech Republic,CZE,0.3277941168105306
2006,Germany,DEU,0.4324353166058557
2006,France,FRA,0.4754829167299376
2006,India,IND,0.534648315411084
2006,Jordan,JOR,0.5416665018720049
2006,Korea, Republic of,0.32829320697919984
2006,Lebanon,LBN,0.6114175461190712
2006,Poland,POL,0.4277266450050172
2006,Palestine,PSE,0.5898409903275559
2006,Russian Federation,RUS,0.5951689825124143
2006,Slovenia,SVN,0.32105422913000004
2006,Thailand,THA,0.6432026827542119
2006,Turkey,TUR,0.5684265582673789
2006,USA,USA,0.5827170859135241
2006,Yemen,YEM,0.5902649477508891
2007,Brazil,BRA,0.6463626696834711
2007,China,CHN,0.472062630502598
2007,Czech Republic,CZE,0.32489714915884016
2007,Germany,DEU,0.4463610494064341
2007,France,FRA,0.4781272216821453
2007,India,IND,0.5453265126597701
2007,Iraq,IRQ,0.5913397882
2007,Korea, Republic of,0.33395260996472
2007,Kuwait,KWT,0.621797922806
2007,Lebanon,LBN,0.6591754451788299
2007,Malaysia,MYS,0.5591575147374013
2007,Poland,POL,0.4288219665409094
2007,Palestine,PSE,0.616056249958718
2007,Qatar,QAT,0.6211690006139999
2007,Russian Federation,RUS,0.5976924168581549
2007,Slovenia,SVN,0.30652291473000004
2007,Thailand,THA,0.637002780102536
2007,Turkey,TUR,0.5618082621771421
2007,USA,USA,0.5792453216804245
2007,Yemen,YEM,0.5902649477508891
2008,Brazil,BRA,0.6530191368856079
2008,Cote d'Ivoire,CIV,0.6016129067148311
2008,China,CHN,0.4731534582160541
2008,Czech Republic,CZE,0.3389022967915992
2008,Germany,DEU,0.4510770004568572
2008,Egypt,EGY,0.541627680321226
2008,France,FRA,0.4762716627380557
2008,India,IND,0.5562186057177392
2008,Jordan,JOR,0.5357483121046207
2008,Korea, Republic of,0.3392357370262801
2008,Lebanon,LBN,0.6626297675081458
2008,Poland,POL,0.4263395430925812
2008,Palestine,PSE,0.592298939535946
2008,Russian Federation,RUS,0.6101200273233199
2008,Saudi Arabia,SAU,0.6090172275299999
2008,Slovenia,SVN,0.3057193487800001
2008,Thailand,THA,0.631557875278262
2008,Turkey,TUR,0.5683952896754669
2008,USA,USA,0.5773794141694353
2008,Yemen,YEM,0.5902649477508891
2009,United Arab Emirates,ARE,0.6485995435493852
2009,Brazil,BRA,0.6451332968280801
2009,China,CHN,0.4739331501127431
2009,Czech Republic,CZE,0.32889254556753955
2009,Germany,DEU,0.4399293401451291
2009,France,FRA,0.4672300858888925
2009,India,IND,0.5673078754005929
2009,Korea, Republic of,0.3351563811005801
2009,Lebanon,LBN,0.658232027753577
2009,Malaysia,MYS,0.5444641847728302
2009,Poland,POL,0.4179342113130078
2009,Russian Federation,RUS,0.5878466177850538
2009,Slovenia,SVN,0.31547222139000003
2009,Thailand,THA,0.6231284399665121
2009,Turkey,TUR,0.583147171039478
2009,USA,USA,0.573945337574292
2009,Yemen,YEM,0.5902649477508891
2010,Brazil,BRA,0.6443864787211229
2010,China,CHN,0.4836800178250946
2010,Czech Republic,CZE,0.3321426986050978
2010,Germany,DEU,0.44364717755508265
2010,Egypt,EGY,0.5182168452991871
2010,France,FRA,0.47214125953911795
2010,India,IND,0.578575529473063
2010,Jordan,JOR,0.5696541138312479
2010,Korea, Republic of,0.34120680149899985
2010,Lebanon,LBN,0.6615769499400019
2010,Oman,OMN,0.6545370686759999
2010,Poland,POL,0.4139321490748271
2010,Palestine,PSE,0.6103238522480332
2010,Russian Federation,RUS,0.5616826054158068
2010,Slovenia,SVN,0.3215526342000001
2010,Thailand,THA,0.6289384611263469
2010,Turkey,TUR,0.5770839192741881
2010,USA,USA,0.5863055762071039
2010,Yemen,YEM,0.5902649477508891
2011,Brazil,BRA,0.6510333946758471
2011,China,CHN,0.4876288338741168
2011,Czech Republic,CZE,0.3315274523495273
2011,Germany,DEU,0.4447660732307862
2011,France,FRA,0.4697947408620653
2011,India,IND,0.596055915542745
2011,Korea, Republic of,0.3424777179569001
2011,Lebanon,LBN,0.664138920607884
2011,Poland,POL,0.4170621653594604
2011,Palestine,PSE,0.5972575942137729
2011,Russian Federation,RUS,0.5664011451212124
2011,Slovenia,SVN,0.31319110389000004
2011,Thailand,THA,0.6223715517754879
2011,Turkey,TUR,0.5801209299572727
2011,USA,USA,0.5903155988792559
2011,Yemen,YEM,0.5902649477508891
2012,Brazil,BRA,0.644376529181393
2012,China,CHN,0.4772245851403443
2012,Czech Republic,CZE,0.34067794770670196
2012,Germany,DEU,0.4423806119210831
2012,Egypt,EGY,0.5166096153202612
2012,France,FRA,0.4613508141575594
2012,India,IND,0.6025349069946739
2012,Korea, Republic of,0.3382573583812
2012,Lebanon,LBN,0.6665058128868651
2012,Malaysia,MYS,0.5199125390590971
2012,Poland,POL,0.4158297639328608
2012,Qatar,QAT,0.6063437049251492
2012,Russian Federation,RUS,0.5484780249800271
2012,Slovenia,SVN,0.3317203044900001
2012,Thailand,THA,0.6227387485694488
2012,Turkey,TUR,0.578111847416759
2012,USA,USA,0.5996890841752486
2012,Yemen,YEM,0.5902649477508891
2013,Brazil,BRA,0.6388628496853471
2013,China,CHN,0.483819920957212
2013,Czech Republic,CZE,0.31932796210841496
2013,Germany,DEU,0.4497284070428108
2013,France,FRA,0.4596700244379465
2013,India,IND,0.6026393232060059
2013,Jordan,JOR,0.5444774121430119
2013,Korea, Republic of,0.336209137391
2013,Kuwait,KWT,0.623407777357011
2013,Lebanon,LBN,0.6649676953326091
2013,Poland,POL,0.41493309952994817
2013,Russian Federation,RUS,0.5604311020696477
2013,Thailand,THA,0.6045593351556959
2013,Turkey,TUR,0.569088776261742
2013,USA,USA,0.5915901095685407
2013,Yemen,YEM,0.5902649477508891
2014,Brazil,BRA,0.636323014787364
2014,Cote d'Ivoire,CIV,0.5906055401550299
2014,China,CHN,0.4785389787094586
2014,Czech Republic,CZE,0.33501683586991937
2014,Germany,DEU,0.44634479079108136
2014,France,FRA,0.4592652157275523
2014,Korea, Republic of,0.3377828214802
2014,Lebanon,LBN,0.6621773447253241
2014,Malaysia,MYS,0.4886557347846701
2014,Poland,POL,0.4153687565614656
2014,Russian Federation,RUS,0.5469198791207159
2014,Thailand,THA,0.6054590154194329
2014,Turkey,TUR,0.5864721740478129
2014,USA,USA,0.5974275745550086
2014,Yemen,YEM,0.5902649477508891
2015,Bahrain,BHR,0.6001665626200939
2015,Brazil,BRA,0.6411212417266291
2015,China,CHN,0.4793672193745036
2015,Czech Republic,CZE,0.335404423244575
2015,Germany,DEU,0.4485080721585333
2015,Egypt,EGY,0.5374125622477279
2015,Korea, Republic of,0.34244706651799994
2015,Poland,POL,0.4114709071471552
2015,Russian Federation,RUS,0.545238349162226
2015,Thailand,THA,0.588004431552855
2015,Turkey,TUR,0.591756805349952
2015,Yemen,YEM,0.5902649477508891
