name,code,gini
Russian Federation,RUS,0.6101200273233199
Saudi Arabia,SAU,0.6090172275299999
Slovenia,SVN,0.30571934878000007
Thailand,THA,0.631557875278262
Turkey,TUR,0.5683952896754669
USA,USA,0.5773794141694353
Yemen,YEM,0.590264947750889
2009
United Arab Emirates,ARE,0.6485995435493852
Brazil,BRA,0.6451332968280801
China,CHN,0.47393315011274306
Czech Republic,CZE,0.32889254556753955
Germany,DEU,0.4399293401451291
France,FRA,0.4672300858888925
India,IND,0.5673078754005929
Korea, Republic of,0.3351563811005801
Lebanon,LBN,0.658232027753577
Malaysia,MYS,0.5444641847728302
Poland,POL,0.4179342113130078
Russian Federation,RUS,0.5878466177850538
Slovenia,SVN,0.31547222139
Thailand,THA,0.6231284399665121
Turkey,TUR,0.583147171039478
USA,USA,0.573945337574292
Yemen,YEM,0.590264947750889
2010
Brazil,BRA,0.644386478721123
China,CHN,0.4836800178250946
Czech Republic,CZE,0.3321426986050978
Germany,DEU,0.44364717755508265
Egypt,EGY,0.5182168452991871
France,FRA,0.472141259539118
India,IND,0.578575529473063
Jordan,JOR,0.569654113831248
Korea, Republic of,0.34120680149899985
Lebanon,LBN,0.6615769499400019
Oman,OMN,0.6545370686759999
Poland,POL,0.4139321490748271
Palestine,PSE,0.6103238522480332
Russian Federation,RUS,0.5616826054158068
Slovenia,SVN,0.32155263420000013
Thailand,THA,0.6289384611263469
Turkey,TUR,0.5770839192741881
USA,USA,0.5863055762071039
Yemen,YEM,0.590264947750889
2011
Brazil,BRA,0.651033394675847
China,CHN,0.48762883387411676
Czech Republic,CZE,0.3315274523495273
Germany,DEU,0.4447660732307862
France,FRA,0.4697947408620653
India,IND,0.596055915542745
Korea, Republic of,0.3424777179569001
Lebanon,LBN,0.664138920607884
Poland,POL,0.4170621653594604
Palestine,PSE,0.597257594213773
Russian Federation,RUS,0.5664011451212124
Slovenia,SVN,0.31319110389000004
Thailand,THA,0.622371551775488
Turkey,TUR,0.5801209299572727
USA,USA,0.5903155988792559
Yemen,YEM,0.590264947750889
2012
Brazil,BRA,0.644376529181393
China,CHN,0.4772245851403443
Czech Republic,CZE,0.340677947706702
Germany,DEU,0.44238061192108313
Egypt,EGY,0.5166096153202612
France,FRA,0.4613508141575594
India,IND,0.6025349069946739
Korea, Republic of,0.33825735838119997
Lebanon,LBN,0.6665058128868651
Malaysia,MYS,0.5199125390590971
Poland,POL,0.41582976393286075
Qatar,QAT,0.6063437049251492
Russian Federation,RUS,0.5484780249800271
Slovenia,SVN,0.3317203044900001
Thailand,THA,0.6227387485694488
Turkey,TUR,0.578111847416759
USA,USA,0.5996890841752486
Yemen,YEM,0.590264947750889
2013
Brazil,BRA,0.6388628496853471
China,CHN,0.48381992095721194
Czech Republic,CZE,0.31932796210841496
Germany,DEU,0.4497284070428108
France,FRA,0.45967002443794647
India,IND,0.6026393232060059
Jordan,JOR,0.5444774121430119
Korea, Republic of,0.336209137391
Kuwait,KWT,0.623407777357011
Lebanon,LBN,0.6649676953326091
Poland,POL,0.41493309952994817
Russian Federation,RUS,0.5604311020696477
Thailand,THA,0.6045593351556959
Turkey,TUR,0.569088776261742
USA,USA,0.5915901095685407
Yemen,YEM,0.590264947750889
2014
Brazil,BRA,0.636323014787364
Cote d'Ivoire,CIV,0.5906055401550299
China,CHN,0.47853897870945866
Czech Republic,CZE,0.33501683586991937
Germany,DEU,0.44634479079108136
France,FRA,0.4592652157275523
Korea, Republic of,0.3377828214802
Lebanon,LBN,0.6621773447253241
Malaysia,MYS,0.48865573478467006
Poland,POL,0.41536875656146555
Russian Federation,RUS,0.5469198791207159
Thailand,THA,0.6054590154194329
